"ROUND","LOC_LABEL","SEX_LABEL","AGE_LABEL","N","HIV_N","VLNS_N","ARV_N","LOC","SEX","AGE","ROW_ID","NONVLNS","EMPIRICAL_NONVLNS_IN_HIV","EMPIRICAL_VLNS_IN_HIV"
15,"fishing","M",50,0,0,0,0,1,1,36,561,0,NA,NA
16,"fishing","M",50,0,0,0,0,1,1,36,562,0,NA,NA
17,"fishing","M",50,0,0,0,0,1,1,36,563,0,NA,NA
18,"fishing","M",50,0,0,0,0,1,1,36,564,0,NA,NA
15,"inland","M",50,0,0,0,0,0,1,36,565,0,NA,NA
16,"inland","M",50,1,1,1,0,0,1,36,566,0,0,1
17,"inland","M",50,0,0,0,0,0,1,36,567,0,NA,NA
18,"inland","M",50,0,0,0,0,0,1,36,568,0,NA,NA
15,"fishing","F",50,0,0,0,0,1,0,36,569,0,NA,NA
16,"fishing","F",50,0,0,0,0,1,0,36,570,0,NA,NA
17,"fishing","F",50,0,0,0,0,1,0,36,571,0,NA,NA
18,"fishing","F",50,0,0,0,0,1,0,36,572,0,NA,NA
15,"inland","F",50,0,0,0,0,0,0,36,573,0,NA,NA
16,"inland","F",50,1,1,0,0,0,0,36,574,1,1,0
17,"inland","F",50,0,0,0,0,0,0,36,575,0,NA,NA
18,"inland","F",50,0,0,0,0,0,0,36,576,0,NA,NA
