"AGEYRS","ROUND","SEX","COMM","PARTICIPANT","PARTICIPATION"
32,"09","M","inland",109,0.630297636173431
32,"10","F","inland",122,0.818065433713039
32,"10","M","inland",89,0.625976137182183
32,"11","F","inland",161,0.879488976590184
32,"11","M","inland",123,0.655601313066223
32,"12","F","inland",184,0.858068692042506
32,"12","M","inland",137,0.598496095534839
32,"13","F","inland",173,0.851128634527056
32,"13","M","inland",114,0.627794772328839
32,"14","F","inland",186,0.837814874367349
32,"14","M","inland",131,0.621568460875728
32,"15","F","fishing",106,0.843284953464571
32,"15","F","inland",324,0.818086075103349
32,"15","M","fishing",104,0.678055806312106
32,"15","M","inland",217,0.608664231727606
32,"15S","F","fishing",97,0.751900318392127
32,"15S","M","fishing",105,0.619634248146728
32,"16","F","fishing",69,0.741557433552165
32,"16","F","inland",235,0.798804212762123
32,"16","M","fishing",81,0.582407207796578
32,"16","M","inland",152,0.586012623065063
32,"17","F","fishing",81,0.703562612696316
32,"17","F","inland",277,0.801337105372129
32,"17","M","fishing",78,0.553744098959883
32,"17","M","inland",172,0.614382096567044
32,"18","F","fishing",87,0.71022872789639
32,"18","F","inland",250,0.780395274083944
32,"18","M","fishing",89,0.608539307510958
32,"18","M","inland",179,0.606708716601235
33,"06","F","inland",90,0.839230188419266
33,"06","M","inland",100,0.687711944105075
33,"07","F","inland",106,0.832498502382082
33,"07","M","inland",99,0.684336642714623
33,"08","F","inland",108,0.843828126942088
33,"08","M","inland",121,0.71793762786438
33,"09","F","inland",91,0.833406103096063
33,"09","M","inland",87,0.631699756677558
33,"10","F","inland",116,0.820152253443814
33,"10","M","inland",93,0.63387271845644
33,"11","F","inland",136,0.875932674159553
33,"11","M","inland",115,0.668415659383103
33,"12","F","inland",160,0.861296754045136
33,"12","M","inland",125,0.611986884053649
33,"13","F","inland",160,0.857635680194619
33,"13","M","inland",137,0.640081298313189
33,"14","F","inland",175,0.845698192228499
33,"14","M","inland",106,0.626597794289394
33,"15","F","fishing",68,0.852279930798532
33,"15","F","inland",241,0.830779016225695
33,"15","M","fishing",77,0.68672510179917
33,"15","M","inland",186,0.620076310162121
33,"15S","F","fishing",75,0.757858130754395
33,"15S","M","fishing",95,0.622745744038515
33,"16","F","fishing",79,0.756016399485419
33,"16","F","inland",250,0.813592451063888
33,"16","M","fishing",88,0.589788600289808
33,"16","M","inland",176,0.597554019192465
33,"17","F","fishing",76,0.72217826739216
33,"17","F","inland",259,0.810177456117491
33,"17","M","fishing",101,0.565870319622083
33,"17","M","inland",183,0.624810587018742
