"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R015","F","fishing",34,17,33
"R018","F","inland",31,35,38
"R012","M","inland",36,3,14
"R017","M","inland",23,4,14
"R018","M","inland",24,3,5
"R018","F","inland",25,20,31
"R015","M","inland",20,2,9
"R018","M","inland",26,5,12
"R012","F","inland",26,2,29
"R012","F","inland",23,0,22
"R015","M","inland",42,11,22
"R013","M","inland",19,0,2
"R016","M","inland",25,5,16
"R012","F","inland",28,5,33
"R013","M","inland",20,0,2
"R014","M","inland",22,0,7
"R015","M","inland",22,0,9
"R017","M","inland",26,7,16
"R018","M","inland",27,5,7
"R013","F","inland",17,0,3
"R014","F","inland",18,0,9
"R015","F","inland",33,20,58
"R014","F","inland",21,1,20
"R013","M","inland",36,3,11
"R014","M","inland",37,5,17
"R013","M","inland",49,5,10
"R013","F","inland",16,0,2
"R017","F","inland",25,38,53
"R013","F","inland",19,1,6
"R016","M","inland",35,13,23
"R016","F","inland",20,10,21
"R017","F","inland",22,22,37
"R015","M","inland",19,2,9
"R014","M","inland",25,0,15
"R014","M","inland",16,1,2
"R015","M","inland",17,3,4
"R015","F","inland",41,17,29
"R017","F","inland",45,32,35
"R015","F","fishing",49,3,4
"R015","F","inland",28,13,67
"R016","M","inland",47,17,25
"R015","M","inland",44,7,14
"R016","M","fishing",33,11,32
"R015","M","inland",28,3,19
"R012","M","inland",21,0,2
"R015","M","fishing",32,16,53
"R015","M","fishing",36,3,22
"R015S","M","fishing",37,6,27
"R017","M","fishing",39,17,24
"R015","M","fishing",23,0,15
"R015S","M","fishing",24,1,18
"R016","M","fishing",25,2,13
"R018","M","fishing",28,21,26
"R015","M","fishing",39,3,26
"R015S","M","fishing",40,4,27
"R017","M","fishing",43,11,14
"R018","M","fishing",45,20,24
"R018","M","inland",39,19,21
"R015S","M","fishing",30,9,54
"R016","M","fishing",31,16,37
"R018","M","fishing",34,39,54
"R017","M","inland",39,28,32
"R018","M","inland",42,25,27
"R017","F","fishing",37,28,33
"R017","M","inland",34,21,28
"R015S","M","fishing",32,9,42
"R017","M","fishing",35,33,53
"R018","M","fishing",37,43,51
"R016","F","inland",23,28,43
"R018","F","inland",16,2,4
"R016","M","fishing",38,13,29
"R016","F","fishing",21,9,26
"R016","F","fishing",28,24,42
"R016","M","fishing",21,0,7
"R016","F","fishing",42,7,12
"R016","F","fishing",26,22,42
"R018","F","fishing",29,35,39
"R015","F","inland",30,19,49
"R015","F","inland",21,8,36
"R017","F","inland",24,34,43
"R018","F","inland",26,27,34
"R015","F","inland",19,1,15
"R014","M","inland",24,0,8
"R015","M","inland",25,2,23
"R014","F","inland",19,0,11
"R015","F","inland",29,8,58
"R015","F","inland",18,1,15
"R016","F","inland",22,12,32
"R015","M","fishing",31,9,33
"R015","M","fishing",41,4,15
"R015S","M","fishing",42,4,22
"R015","M","fishing",21,0,7
"R015S","F","fishing",39,13,30
"R016","F","fishing",40,16,22
"R015","F","fishing",28,13,51
"R015S","F","fishing",29,16,48
"R016","F","fishing",30,31,53
"R017","F","fishing",31,41,49
"R018","F","fishing",33,38,39
"R015","M","fishing",22,3,10
"R015S","M","fishing",22,0,11
"R016","M","fishing",23,2,11
"R017","M","fishing",25,6,17
"R015","F","fishing",27,14,57
"R015S","F","fishing",28,17,60
"R016","F","fishing",29,22,45
"R018","F","fishing",32,40,43
"R015","F","fishing",25,17,56
"R015S","F","fishing",25,9,44
"R015","M","fishing",30,12,43
"R015S","M","fishing",33,7,48
"R016","M","fishing",35,10,24
"R017","M","fishing",36,24,38
"R015","F","fishing",32,29,66
"R016","F","fishing",33,27,40
"R015","F","fishing",29,21,51
"R017","F","fishing",32,33,41
"R018","F","fishing",34,40,41
"R015","M","fishing",29,6,39
"R015","F","fishing",46,0,4
"R015S","F","fishing",46,2,5
"R015","F","fishing",23,12,42
"R015S","F","fishing",30,13,59
"R016","F","fishing",31,27,39
"R017","F","fishing",33,30,34
"R018","F","fishing",35,32,38
"R015S","F","fishing",32,20,54
"R015S","M","fishing",31,6,24
"R016","M","fishing",32,20,38
"R015S","M","fishing",35,9,38
"R016","M","fishing",36,19,34
"R017","M","fishing",38,17,33
"R018","M","fishing",40,24,28
"R017","F","fishing",30,34,42
"R015S","M","fishing",20,0,11
"R015S","F","fishing",24,4,23
"R016","F","fishing",25,11,28
"R015S","F","fishing",27,10,38
"R015","F","fishing",37,16,35
"R015","M","fishing",27,6,30
"R015S","M","fishing",27,3,37
"R016","M","fishing",34,17,42
"R015","F","fishing",36,17,31
"R015S","F","fishing",37,9,26
"R015","F","fishing",26,9,43
"R015S","F","fishing",26,2,38
"R015","M","fishing",48,3,6
"R015S","F","fishing",33,17,37
"R016","F","fishing",35,22,34
"R017","F","fishing",36,35,38
"R018","F","fishing",38,27,31
"R018","M","fishing",38,26,30
"R017","F","fishing",42,21,22
