"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R006","F","inland",46,8,52
"R007","F","inland",47,8,48
"R008","F","inland",48,7,52
"R009","F","inland",49,5,35
"R006","F","inland",33,28,90
"R007","F","inland",34,26,95
"R008","F","inland",35,29,103
"R013","M","inland",32,26,114
"R006","F","inland",38,11,81
"R007","F","inland",39,8,78
"R011","F","inland",44,8,64
"R012","F","inland",46,12,63
"R013","F","inland",47,3,63
"R014","F","inland",49,7,46
"R008","M","inland",29,23,189
"R011","F","inland",35,24,101
"R012","F","inland",37,17,99
"R013","F","inland",39,22,89
"R014","F","inland",40,33,99
"R015","F","inland",42,33,111
"R016","F","inland",44,30,121
"R018","F","inland",47,28,105
"R011","F","inland",37,16,66
"R006","F","inland",31,38,106
"R007","F","inland",32,23,108
"R012","F","inland",38,23,88
"R013","F","inland",40,18,79
"R014","F","inland",41,22,103
"R015","F","inland",43,26,100
"R006","M","inland",37,14,74
"R015","M","inland",49,6,36
"R015","F","inland",41,27,120
"R016","F","inland",43,25,108
"R009","M","inland",29,6,113
"R011","M","inland",33,14,115
"R013","M","inland",37,20,98
"R014","M","inland",38,11,109
"R015","M","inland",40,23,139
"R016","M","inland",42,28,132
"R017","M","inland",43,16,120
"R018","M","inland",45,24,149
"R011","F","inland",29,36,194
"R013","F","inland",32,37,173
"R015","F","inland",35,49,219
"R010","M","inland",48,1,32
"R011","M","inland",49,0,30
"R006","M","inland",22,10,158
"R014","M","inland",33,20,106
"R017","M","inland",38,26,166
"R018","M","inland",40,31,173
"R008","M","inland",41,17,70
"R006","M","inland",47,5,32
"R006","M","inland",31,13,108
"R007","M","inland",32,18,118
"R008","M","inland",33,19,121
"R011","F","inland",39,16,74
"R012","F","inland",41,14,63
"R013","F","inland",43,9,61
"R007","F","inland",44,7,66
"R008","F","inland",45,5,65
"R011","F","inland",49,2,56
"R009","F","inland",33,17,91
"R014","F","inland",42,15,66
"R018","F","inland",49,22,76
"R010","F","inland",33,29,116
"R013","F","inland",38,25,104
"R017","F","inland",45,34,118
"R017","F","fishing",47,5,12
"R015","M","inland",31,23,187
"R017","M","inland",36,33,218
"R018","M","inland",38,27,164
"R006","F","inland",47,5,69
"R012","F","inland",40,21,84
"R013","F","inland",42,21,71
"R015","F","inland",45,25,79
"R017","F","inland",49,30,74
"R006","M","inland",48,4,42
"R007","M","inland",49,3,36
"R008","F","inland",24,36,246
"R009","F","inland",25,19,202
"R010","F","inland",26,24,176
"R015","M","fishing",33,39,77
"R007","M","inland",34,20,95
"R010","M","inland",40,13,47
"R007","F","inland",31,25,111
"R015","M","inland",35,37,182
"R016","M","inland",37,30,163
"R012","M","inland",35,14,110
"R013","M","inland",36,11,106
"R006","F","inland",43,6,68
"R009","F","inland",46,5,51
"R006","F","inland",48,4,46
"R007","F","inland",49,6,51
"R008","F","inland",44,12,74
"R009","F","inland",45,7,72
"R010","F","inland",46,7,68
"R007","F","inland",20,37,341
"R011","F","inland",23,26,225
"R013","F","inland",35,35,137
"R015","F","inland",38,44,189
"R011","M","inland",38,14,80
"R013","M","inland",41,16,78
"R014","M","inland",43,17,84
"R016","M","inland",46,15,100
"R014","F","inland",34,30,169
"R011","M","inland",47,7,38
"R006","M","inland",28,14,119
"R006","M","inland",20,3,197
"R011","M","inland",42,10,54
"R012","M","inland",44,10,43
"R014","M","inland",47,12,46
"R008","M","inland",22,5,212
"R006","M","inland",45,3,24
"R007","M","inland",46,3,33
"R008","M","inland",47,3,32
"R009","M","inland",48,4,28
"R010","M","inland",49,3,28
"R010","F","inland",47,5,51
"R007","M","inland",21,5,171
"R010","M","inland",24,11,151
"R010","M","inland",27,12,112
"R009","M","inland",47,1,36
"R006","M","inland",24,11,155
"R007","M","inland",25,15,177
"R008","M","inland",26,14,180
"R007","M","inland",19,1,132
"R008","M","inland",20,7,157
"R011","M","inland",24,10,147
"R014","M","inland",29,18,135
"R018","M","inland",37,40,215
"R015","F","fishing",38,26,52
"R012","F","inland",29,37,203
"R007","F","inland",43,8,68
"R011","M","inland",30,17,127
"R009","M","inland",39,5,38
"R008","F","inland",40,10,85
"R016","M","inland",34,32,204
"R015","F","fishing",31,38,66
"R015S","F","fishing",31,31,51
"R016","F","fishing",32,35,69
"R017","F","fishing",34,36,70
"R018","F","fishing",36,41,71
"R018","F","inland",30,65,275
"R006","F","inland",39,16,95
"R007","F","inland",40,21,117
"R008","F","inland",41,17,110
"R009","F","inland",42,8,88
"R010","F","inland",43,9,82
"R011","F","inland",45,11,71
"R013","F","inland",48,13,52
"R009","M","inland",33,11,87
"R010","M","inland",34,12,95
"R011","F","inland",40,10,63
"R014","M","inland",28,18,143
"R015","F","inland",32,68,323
"R006","F","inland",21,22,202
"R011","F","inland",27,24,180
"R006","F","inland",40,17,95
"R013","M","inland",40,13,88
"R015","M","inland",43,20,108
"R017","M","inland",47,19,115
"R017","M","inland",44,23,128
"R014","F","inland",44,17,60
"R015","F","inland",46,13,63
"R010","M","inland",26,12,128
"R013","M","inland",31,13,115
"R015","M","inland",34,30,157
"R016","M","inland",36,28,154
"R015","F","fishing",33,39,68
"R009","M","inland",23,11,162
"R009","M","inland",31,13,92
"R011","M","inland",34,16,87
"R012","M","inland",36,14,81
"R014","M","inland",39,15,86
"R018","M","inland",46,21,114
"R018","M","inland",44,22,132
"R009","F","inland",41,9,64
"R009","M","inland",42,10,45
"R013","F","inland",30,39,183
"R014","F","inland",32,35,186
"R006","F","inland",18,12,249
"R015","F","inland",30,48,265
"R016","F","inland",32,48,235
"R017","F","inland",34,48,210
"R018","F","inland",35,57,254
"R007","F","inland",41,12,87
"R008","F","inland",42,13,86
"R011","F","inland",46,12,91
"R013","F","inland",49,10,77
"R007","M","inland",43,8,45
"R013","F","inland",29,50,253
"R014","F","inland",31,54,235
"R016","F","inland",34,63,291
"R017","F","inland",36,82,310
"R018","F","inland",38,62,242
"R013","M","inland",29,25,146
"R015S","M","fishing",34,25,71
"R016","M","fishing",35,25,68
"R017","M","fishing",36,40,82
"R018","M","fishing",38,31,74
"R010","M","inland",30,9,109
"R014","M","inland",36,20,123
"R010","F","inland",16,2,122
"R018","F","inland",29,50,247
"R014","F","inland",24,31,191
"R012","M","inland",39,12,83
"R017","M","inland",48,21,86
"R018","M","inland",49,15,93
"R006","F","inland",17,6,194
"R007","F","inland",18,11,252
"R008","F","inland",19,9,272
"R009","F","inland",20,16,212
"R010","F","inland",22,24,217
"R011","F","inland",24,23,221
"R012","F","inland",25,24,214
"R015","M","inland",44,15,106
"R008","F","inland",33,28,108
"R009","F","inland",34,17,79
"R010","F","inland",35,17,80
"R007","F","inland",19,14,265
"R009","F","inland",21,12,206
"R009","M","inland",34,11,78
"R010","M","inland",35,13,79
"R006","F","inland",49,4,45
"R006","M","inland",43,3,44
"R012","F","inland",23,22,224
"R012","M","inland",27,27,161
"R015","M","inland",32,39,217
"R009","M","inland",21,7,109
"R010","M","inland",21,7,125
"R011","M","inland",23,8,128
"R012","M","inland",25,14,118
"R013","M","inland",27,20,107
"R015","M","inland",30,25,183
"R016","M","inland",32,27,151
"R017","M","inland",33,20,183
"R018","M","inland",35,31,177
"R015","F","inland",33,57,241
"R008","M","inland",44,7,44
"R015S","M","fishing",46,14,27
"R007","F","inland",17,3,216
"R016","F","inland",35,62,248
"R008","F","inland",20,21,292
"R006","M","inland",17,0,139
"R007","M","inland",18,1,176
"R008","M","inland",19,0,176
"R013","M","inland",26,12,143
"R014","M","inland",27,11,131
"R012","F","inland",26,29,212
