"ROUND","LOC_LABEL","SEX_LABEL","AGE_LABEL","N","HIV_N","VLNS_N","ARV_N","LOC","SEX","AGE","ROW_ID","NONVLNS","EMPIRICAL_NONVLNS_IN_HIV","EMPIRICAL_VLNS_IN_HIV"
15,"fishing","F",30,54,54,43,0,1,0,16,311,11,0.203703703703704,0.796296296296296
15.5,"fishing","F",30,0,0,0,0,1,0,16,312,0,NA,NA
16,"fishing","F",30,96,53,25,0,1,0,16,313,28,0.528301886792453,0.471698113207547
17,"fishing","F",30,85,42,12,0,1,0,16,314,30,0.714285714285714,0.285714285714286
18,"fishing","F",30,108,63,10,0,1,0,16,315,53,0.841269841269841,0.158730158730159
15,"inland","F",30,11,11,7,0,0,0,16,316,4,0.363636363636364,0.636363636363636
15.5,"inland","F",30,0,0,0,0,0,0,16,317,0,NA,NA
16,"inland","F",30,283,51,20,0,0,0,16,318,31,0.607843137254902,0.392156862745098
17,"inland","F",30,265,52,21,0,0,0,16,319,31,0.596153846153846,0.403846153846154
18,"inland","F",30,278,65,16,0,0,0,16,320,49,0.753846153846154,0.246153846153846
15,"fishing","M",31,33,33,24,0,1,1,17,321,9,0.272727272727273,0.727272727272727
15.5,"fishing","M",31,0,0,0,0,1,1,17,322,0,NA,NA
16,"fishing","M",31,89,37,21,0,1,1,17,323,16,0.432432432432432,0.567567567567568
17,"fishing","M",31,109,39,17,0,1,1,17,324,22,0.564102564102564,0.435897435897436
18,"fishing","M",31,99,41,8,0,1,1,17,325,33,0.804878048780488,0.195121951219512
15,"inland","M",31,3,3,2,0,0,1,17,326,1,0.333333333333333,0.666666666666667
15.5,"inland","M",31,0,0,0,0,0,1,17,327,0,NA,NA
16,"inland","M",31,177,23,16,0,0,1,17,328,7,0.304347826086957,0.695652173913043
17,"inland","M",31,173,27,13,0,0,1,17,329,14,0.518518518518518,0.481481481481482
18,"inland","M",31,201,28,13,0,0,1,17,330,15,0.535714285714286,0.464285714285714
15,"fishing","F",31,38,38,24,0,1,0,17,331,14,0.368421052631579,0.631578947368421
15.5,"fishing","F",31,3,3,3,0,1,0,17,332,0,0,1
16,"fishing","F",31,73,39,14,0,1,0,17,333,25,0.641025641025641,0.358974358974359
17,"fishing","F",31,82,49,10,0,1,0,17,334,39,0.795918367346939,0.204081632653061
18,"fishing","F",31,88,43,7,0,1,0,17,335,36,0.837209302325581,0.162790697674419
15,"inland","F",31,8,8,7,0,0,0,17,336,1,0.125,0.875
15.5,"inland","F",31,0,0,0,0,0,0,17,337,0,NA,NA
16,"inland","F",31,264,51,17,0,0,0,17,338,34,0.666666666666667,0.333333333333333
17,"inland","F",31,286,56,13,0,0,0,17,339,43,0.767857142857143,0.232142857142857
18,"inland","F",31,247,38,4,0,0,0,17,340,34,0.894736842105263,0.105263157894737
15,"fishing","M",32,53,53,41,0,1,1,18,341,12,0.226415094339623,0.773584905660377
15.5,"fishing","M",32,0,0,0,0,1,1,18,342,0,NA,NA
16,"fishing","M",32,83,38,22,0,1,1,18,343,16,0.421052631578947,0.578947368421053
17,"fishing","M",32,77,35,17,0,1,1,18,344,18,0.514285714285714,0.485714285714286
18,"fishing","M",32,89,33,10,0,1,1,18,345,23,0.696969696969697,0.303030303030303
