"AGEYRS","SEX","COMM","ROUND","variable","CL","CU","M"
15,"M","inland","R012","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.286515917163152,0.622626474895506,0.378392158261108
15,"M","inland","R013","PROP_ART_COVERAGE",0.0131464883056202,0.300793119964012,0.0830176359727576
15,"M","inland","R013","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.0321181317357953,0.536227946505766,0.184834212195725
15,"M","inland","R013","PROP_DIAGNOSED",0.403609281496058,0.613235510058689,0.442399686957754
15,"M","inland","R013","PROP_SUPPRESSED",0.100231146253076,0.304198757792663,0.149776141871592
15,"M","inland","R013","PROP_SUPPRESSION_GIVEN_ART",1.01132224812146,7.62418556681874,1.8041485056592
15,"M","inland","R013","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.24502968108921,0.561931869060638,0.331707427684358
15,"M","inland","R014","PROP_ART_COVERAGE",0.0254791899903472,0.295994071147795,0.0890672121459145
15,"M","inland","R014","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.0558623050285498,0.494832923949328,0.181818752587854
15,"M","inland","R014","PROP_DIAGNOSED",0.449072440140653,0.650107786325121,0.484273947115135
15,"M","inland","R014","PROP_SUPPRESSED",0.108976152902246,0.3007957959048,0.15406584133983
15,"M","inland","R014","PROP_SUPPRESSION_GIVEN_ART",1.01622237525932,4.27706677355288,1.72977061257866
15,"M","inland","R014","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.238363943637093,0.518589187360836,0.313599019577116
15,"M","inland","R015","PROP_ART_COVERAGE",0.0462898856279061,0.712374539458075,0.249676410212578
15,"M","inland","R015","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.0870633174805041,1,0.386777016337353
15,"M","inland","R015","PROP_DIAGNOSED",0.510867457241755,1,0.620717249234742
15,"M","inland","R015","PROP_SUPPRESSED",0.0317785219278456,0.417956797960092,0.157250538348231
15,"M","inland","R015","PROP_SUPPRESSION_GIVEN_ART",0.261282077651391,1,0.659866890569627
15,"M","inland","R015","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.0596394289971745,0.555664214001407,0.239865610278032
15,"M","inland","R016","PROP_ART_COVERAGE",0.292433248143711,0.731358203755629,0.490856706747029
15,"M","inland","R016","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.442928555481936,0.864892182822983,0.638573952184244
15,"M","inland","R016","PROP_DIAGNOSED",0.622139373195963,0.946039722751573,0.76103228785319
15,"M","inland","R016","PROP_SUPPRESSED",0.149495763992259,0.561955496568924,0.325947526235938
15,"M","inland","R016","PROP_SUPPRESSION_GIVEN_ART",0.296253068988601,1,0.688708449120972
15,"M","inland","R016","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.197872962889126,0.702208218837418,0.430954063639046
15,"M","inland","R017","PROP_ART_COVERAGE",0.404849493196273,0.826374567704478,0.610580017735649
15,"M","inland","R017","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.571786793163153,0.948717937934752,0.778954481149936
15,"M","inland","R017","PROP_DIAGNOSED",0.644875766371995,0.950982813867809,0.78093355821275
15,"M","inland","R017","PROP_SUPPRESSED",0.245265438499673,0.726078851669708,0.467178040311693
15,"M","inland","R017","PROP_SUPPRESSION_GIVEN_ART",0.410810949256055,1,0.792314698836218
15,"M","inland","R017","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.318819283500248,0.883930686107741,0.60087566345187
15,"M","inland","R018","PROP_ART_COVERAGE",0.312849676921539,0.661868272808951,0.486475779252141
15,"M","inland","R018","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.455350086130955,0.818261501793228,0.625063171672803
15,"M","inland","R018","PROP_DIAGNOSED",0.64883924715494,0.872500321117681,0.778460232814042
15,"M","inland","R018","PROP_SUPPRESSED",0.108058677259721,0.46524539977225,0.25724823669258
15,"M","inland","R018","PROP_SUPPRESSION_GIVEN_ART",0.218300842377942,0.978115290116044,0.544269258638338
15,"M","inland","R018","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.13992432486781,0.58881109399458,0.33600744833013
16,"F","fishing","R015","PROP_ART_COVERAGE",0.15864839767373,0.587386703416929,0.282333668291289
16,"F","fishing","R015","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.234363668479784,0.756048934557163,0.394698858394807
16,"F","fishing","R015","PROP_DIAGNOSED",0.650335073771493,0.918289202042099,0.703632867498488
16,"F","fishing","R015","PROP_SUPPRESSED",0.13243147846751,0.297383688026492,0.207366985236487
16,"F","fishing","R015","PROP_SUPPRESSION_GIVEN_ART",0.380462135591545,1,0.741819402556655
16,"F","fishing","R015","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.186611226356591,0.408217486395675,0.287928762705915
16,"F","fishing","R016","PROP_ART_COVERAGE",0.250659363817921,0.544312195945601,0.37232506723397
16,"F","fishing","R016","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.457514861141186,0.711724508043897,0.585953234247286
16,"F","fishing","R016","PROP_DIAGNOSED",0.529157754381616,0.797367304120546,0.634657853840775
16,"F","fishing","R016","PROP_SUPPRESSED",0.155269110239776,0.472352487973947,0.278277283671235
16,"F","fishing","R016","PROP_SUPPRESSION_GIVEN_ART",0.404504161094298,1,0.790095064642451
16,"F","fishing","R016","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.24423077947217,0.638551554146586,0.44896526850142
16,"F","fishing","R017","PROP_ART_COVERAGE",0.60017969647428,0.784073638022381,0.690200087792354
16,"F","fishing","R017","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.796256711337845,0.919217590763075,0.859343715433082
16,"F","fishing","R017","PROP_DIAGNOSED",0.728020040411425,0.886168454294282,0.804329099990078
16,"F","fishing","R017","PROP_SUPPRESSED",0.492801893862369,0.722197221531884,0.622439750535286
16,"F","fishing","R017","PROP_SUPPRESSION_GIVEN_ART",0.705885512290373,1,0.908884720619642
16,"F","fishing","R017","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.608761670313648,0.882861610333873,0.779005230323005
16,"F","fishing","R018","PROP_ART_COVERAGE",0.494475062380661,0.772316609425996,0.647225687652564
16,"F","fishing","R018","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.707684334069063,0.894806228109611,0.812118231567033
16,"F","fishing","R018","PROP_DIAGNOSED",0.659100395290644,0.899385208964654,0.799697664597477
16,"F","fishing","R018","PROP_SUPPRESSED",0.31296491725473,0.703179610582435,0.54236426580248
16,"F","fishing","R018","PROP_SUPPRESSION_GIVEN_ART",0.497633373738861,1,0.857364889709254
16,"F","fishing","R018","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.398894496155142,0.844610571212614,0.691685311786598
16,"F","inland","R010","PROP_ART_COVERAGE",0.0030024839412006,0.0925515947852629,0.0214811696608822
16,"F","inland","R010","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.00984975814518285,0.240916518170734,0.067282827234814
16,"F","inland","R010","PROP_DIAGNOSED",0.303079383225086,0.388489946246276,0.318547976366339
16,"F","inland","R010","PROP_SUPPRESSED",0.180287133680687,0.231458054163008,0.190846382663362
16,"F","inland","R010","PROP_SUPPRESSION_GIVEN_ART",2.50085438895012,60.0460087529219,8.88435763987773
16,"F","inland","R010","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.588768762104598,0.626920075370757,0.594916214710994
16,"F","inland","R011","PROP_ART_COVERAGE",0.0030915798479361,0.0886721277694969,0.0210283260238334
16,"F","inland","R011","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.00883123071840996,0.208544636040887,0.0578080987499291
16,"F","inland","R011","PROP_DIAGNOSED",0.348830992486687,0.42863450269282,0.363284099771745
16,"F","inland","R011","PROP_SUPPRESSED",0.180338045627392,0.229241215868284,0.190587614870762
16,"F","inland","R011","PROP_SUPPRESSION_GIVEN_ART",2.58526815829171,58.3323065973351,9.063376225252
16,"F","inland","R011","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.514665033417664,0.554303730151743,0.522005283091833
16,"F","inland","R012","PROP_ART_COVERAGE",0.00169937454545681,0.0580224494391217,0.0108137035460232
16,"F","inland","R012","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.00419654963545251,0.133099673755677,0.0265074322186132
16,"F","inland","R012","PROP_DIAGNOSED",0.404216745529776,0.447965816059672,0.407099986346605
16,"F","inland","R012","PROP_SUPPRESSED",0.179542499740261,0.211727113965213,0.184750687740585
16,"F","inland","R012","PROP_SUPPRESSION_GIVEN_ART",3.64906473939405,105.652110931352,17.0848676504267
16,"F","inland","R012","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.443490755411989,0.488434190702886,0.45183905114558
